time,state,workload,complete_work_with_robot,tries,success,obstacle2,obstacle3,human_at_start_of_check
0.0021691322326660156,1,12,0,0,0,0,0,True
11.022804021835327,1,11,0,0,0,0,0,True
18.03736901283264,2,11,0,0,0,0,0,True
34.03715109825134,3,9,0,0,0,0,0,True
70.02174210548401,4,24,1,0,0,0,0,True
81.00902104377747,3,23,1,0,0,0,0,True
107.4912281036377,2,23,1,0,0,0,0,False
155.01337909698486,0,18,1,1,0,0,0,True
166.06501603126526,0,17,1,2,1,0,0,True
174.04520297050476,1,16,0,0,0,0,0,True
185.02779698371887,1,15,0,0,0,0,0,True
196.05061793327332,1,14,0,0,0,0,0,True
207.0321009159088,1,13,0,0,0,0,0,True
214.0500569343567,2,12,0,0,0,0,1,True
225.03179001808167,2,11,0,0,0,0,0,True
241.00350999832153,3,10,0,0,0,0,0,True
277.0529420375824,4,25,1,0,0,0,0,True
288.008024930954,3,24,1,0,0,1,0,True
299.0249090194702,3,23,1,0,0,0,0,True
324.94554805755615,2,23,1,0,0,0,0,False
373.0651969909668,0,18,1,1,0,0,0,True
384.0132701396942,0,17,1,2,1,0,0,True
392.0300359725952,1,16,0,0,0,0,0,True
403.0124969482422,1,15,0,0,0,1,0,True
413.99416399002075,1,14,0,0,0,0,0,True
425.01791310310364,1,13,0,0,0,1,0,True
436.03587007522583,1,12,0,0,0,0,0,True
443.0154490470886,2,11,0,0,0,0,1,True
454.0311300754547,2,10,0,0,0,0,0,True
470.0041310787201,3,9,0,0,0,0,0,True
506.05381512641907,4,24,1,0,0,0,0,True
517.0108230113983,3,23,1,0,0,0,0,True
529.1492810249329,3,22,1,0,0,0,0,True
554.1024520397186,2,22,1,0,0,0,0,False
603.0408229827881,0,17,1,1,0,0,0,True
614.0590710639954,0,16,1,2,1,0,0,True
622.0069861412048,1,15,0,0,0,0,0,True
633.0949881076813,1,14,0,0,0,0,0,True
644.0154840946198,1,13,0,0,0,0,0,True
651.031769990921,2,12,0,0,0,0,0,True
725.3242471218109,3,11,0,0,0,0,0,False
761.016252040863,4,26,1,0,0,0,0,True
772.0026540756226,3,25,1,0,0,0,0,True
783.0173499584198,3,24,1,0,0,0,0,True
809.2740790843964,2,24,1,0,0,0,0,False
858.0881550312042,0,19,1,1,0,0,0,True
869.003947019577,0,18,1,2,1,0,0,True
877.0205290317535,1,17,0,0,0,0,0,True
888.0739641189575,1,16,0,0,0,0,0,True
898.9916450977325,1,15,0,0,0,0,0,True
910.0099139213562,1,14,0,0,0,0,0,True
920.9916100502014,1,13,0,0,0,0,0,True
928.0076849460602,2,12,0,0,0,0,0,True
951.1763889789581,3,11,0,0,0,0,0,False
987.0003879070282,4,26,1,0,0,0,0,True
1011.2454240322113,3,26,1,0,0,0,0,False
1022.0018510818481,3,25,1,0,0,0,0,True
1049.4447441101074,2,24,1,0,0,0,0,False
1097.1206390857697,0,19,1,1,0,0,0,True
